Name,Price,Designs,Material,Color,Warranty,Seater,Armrest,Shape,Brand,Length (Cm),Breadth (Cm),Height (Cm),Ratings,Sold Count
"Berlin Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Dark Olive Green)",55989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.6,74
"Berlin Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Chestnut Brown)",55989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.9,103
"Berlin Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Indigo Blue)",55989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.6,74
"Berlin Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Mulberry Pink)",55989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.6,74
"Berlin Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Chestnut Brown)",55989,Chesterfield,Velvet,Brown,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.6,74
"Berlin Left Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Graphite Grey)",55989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.6,74
"Berlin Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Dark Olive Green)",55989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.9,103
"Berlin Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Graphite Grey)",55989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.9,103
"Berlin Right Aligned Convertible Sofa Cum Bed with Storage
(Velvet, Indigo Blue)",55989,Chesterfield,Velvet,Blue,36,0,Yes,L - Shape,Wooden Street,228.6,147.3,76.2,4.9,103
"Flumph Left Aligned L Shape Sofa Cum Bed with Storage
(Beige Upholstery)",54516,Modern,Velvet,Beige,12,0,0,0,Vittoria,88.9,132.1,86.4,0,0
"Flumph Right Aligned L Shaped Sofa Cum Bed with Storage
(Blue Upholstery)",54516,Modern,Velvet,Blue,12,0,0,0,Vittoria,88.9,132.1,86.4,0,0
"Rhine L-Shaped Sheesham Wood Multifunctional Corner Sofa with Storage
(Walnut Finish)",53989,0,Sheesham wood,Grey,36,0,Yes,L - Shape,Wooden Street,0,0,0,4.7,104
"Cairo Fabric 3 Seater Convertible Sofa Cum Bed
(Velvet, Chestnut Brown)",52898,Chesterfield,Velvet,Brown,36,3,Yes,0,Wooden Street,182.9,88.9,94.0,5,15
"Cairo Fabric 3 Seater Convertible Sofa Cum Bed
(Velvet, Indigo Blue)",52898,Chesterfield,Velvet,Blue,36,3,Yes,0,Wooden Street,182.9,88.9,94.0,5,15
"Cairo Fabric 3 Seater Convertible Sofa Cum Bed
(Velvet, Dark Olive Green)",52898,Chesterfield,Velvet,Green,36,3,Yes,0,Wooden Street,182.9,88.9,94.0,5,15
